Feature,OR (Median Boot),OR 95% CI Low,OR 95% CI High
age,2.19661837062613,1.9749351315943955,2.4556864440490136
bmi,1.7862931402118314,1.627713257501459,1.9653067916395337
history_surgery,1.4546804092978742,1.3441325055565359,1.5736068746935725
frequent_symptoms,1.4010410814307652,1.2920533927895164,1.5192313773075177
history_trauma,1.2925159670651867,1.1853990190285373,1.41067080831654
