Feature,Importance_Mean,Importance_Std
age,0.11272227148784657,0.025297107057505184
bmi,0.07149797000444776,0.017675930784828084
history_surgery,0.030316948962333265,0.012714867044907228
frequent_symptoms,0.025913022933063575,0.0063380334905592485
history_trauma,0.015024340199833577,0.006904818074469617
