C,mean_cv_auc,std_cv_auc,is_selected_C
0.0001,0.5,0.0,False
0.000774263682681127,0.5,0.0,False
0.005994842503189409,0.8131627140600303,0.016334988002958777,False
0.046415888336127774,0.8196963156666294,0.01958889541339191,True
0.3593813663804626,0.8120442304323987,0.021583141895540333,False
2.782559402207126,0.8088052516701284,0.022675291292466888,False
21.54434690031882,0.8081851311531967,0.0227416543210346,False
166.81005372000558,0.8081629683974412,0.022773218903209682,False
1291.5496650148827,0.8078362317953435,0.02234728719961986,False
10000.0,0.8078312939875024,0.022356994669400738,False
