C,mean_cv_auc,std_cv_auc,is_selected_C
0.0001,0.5,0.0,False
0.000774263682681127,0.5,0.0,False
0.005994842503189409,0.8131684510443327,0.016341901436464842,False
0.046415888336127774,0.8229566511953398,0.020136442573350316,True
0.3593813663804626,0.8165494186575958,0.020260583809804954,False
2.782559402207126,0.8139190429975799,0.019873865649768497,False
21.54434690031882,0.8128184656819922,0.01898092473366196,False
166.81005372000558,0.8127500766465477,0.018598538558399037,False
1291.5496650148827,0.8127921921617717,0.018465921117705047,False
10000.0,0.8127076853681321,0.018417646970815882,False
