param_type,feature,intercept,positive_class,notes,imputer_median,scaler_mean,scaler_scale,coef_on_scaled
intercept,__INTERCEPT__,-2.3288453976367927,1,Prediction uses: z = (x_imputed - scaler_mean) / scaler_scale; logit = intercept + sum(coef_on_scaled * z),,,,
feature,age,-2.3288453976367927,1,,55.0,56.04973451327434,8.937016831192679,0.8062402407263555
feature,bmi,-2.3288453976367927,1,,26.19617644491255,26.966383847704474,4.719353016965645,0.6135240534780354
feature,history_surgery,-2.3288453976367927,1,,0.0,0.035575221238938054,0.18522857466584,0.3761206389721467
feature,frequent_symptoms,-2.3288453976367927,1,,0.0,0.16654867256637168,0.3725724254863089,0.35818584251026586
feature,history_trauma,-2.3288453976367927,1,,0.0,0.14725663716814158,0.3543615667338543,0.26073987053536424
