Model,AUC,k_features,features
Stepwise Logistic Regression,0.847732903802314,7,"age,bmi,history_surgery,history_trauma,occupation_4,waist_hip_ratio,race_raw_3"
XGBoost,0.8310234194257011,59,
Random Forest,0.8146113742792493,59,
Neural Network,0.8054895519710532,59,
