k,AUC,Added Variable
1,0.6954809310499345,age
2,0.7609529147491165,bmi
3,0.8081048693730578,history_surgery
4,0.8190197615304786,history_trauma
5,0.8223692526407821,occupation_4
6,0.8251570894983208,waist_hip_ratio
7,0.8266336213125021,race_raw_3
