variable,imputation_median,mean,sd,beta_per_sd
age,55.0,56.04973451327434,8.937016831192679,0.9302026146504728
bmi,26.19617644491255,26.966383847704474,4.719353016965645,0.7537760900422755
history_surgery,0.0,0.035575221238938054,0.18522857466584,0.39909014909231216
history_trauma,0.0,0.14725663716814158,0.3543615667338543,0.3410078723418071
occupation_4,1.0,0.604778761061947,0.4888981603875427,-0.2012286649458972
waist_hip_ratio,0.9104166875,0.9098306278981473,0.08674370790643687,-0.2477216505743622
race_raw_3,0.0,0.4870796460176991,0.4998330365761871,-0.1876668084669971
(Intercept),,,,-2.340199545757149
