Scenario,Comparison,delta_AUC,CI_Low,CI_High,p_value,n_boot_used
Without Symptoms,Stepwise LR - XGBoost,0.009527851011677302,0.0007907882801450217,0.018036108923615846,0.03398300849575212,2000
Without Symptoms,Stepwise LR - Random Forest,0.012571975993562079,0.0032837576845943434,0.022009920825138026,0.010994502748625687,2000
Without Symptoms,Stepwise LR - Neural Network,0.0326704859594289,0.01719425781556726,0.04898488823417336,0.0009995002498750624,2000
With Symptoms,Stepwise LR - XGBoost,0.006541746531583903,-0.001092583596189345,0.014373382190646638,0.08995502248875563,2000
With Symptoms,Stepwise LR - Random Forest,0.00817906948124214,-0.0006503115077129667,0.01685417603946307,0.06296851574212893,2000
With Symptoms,Stepwise LR - Neural Network,0.011911374854330803,0.0027264647773850045,0.02229623434467877,0.014992503748125937,2000
