Feature,OR,2.5%,97.5%,P-value,OR (95% CI),Feature Label
age,2.329825466417311,2.0806242005577755,2.608874155415223,1.2726558295102374e-48,2.33 (2.08-2.61),Age (years)
bmi,1.736377202117177,1.5697717247081053,1.9206651136444106,8.046802089271778e-27,1.74 (1.57-1.92),Body Mass Index (BMI)
history_surgery,1.4495265704434293,1.341911307414489,1.56577209448351,4.019798807441995e-21,1.45 (1.34-1.57),History of Knee Surgery
frequent_symptoms,1.1860652949492545,1.0546551303377938,1.3338491829385937,0.004397456317809903,1.19 (1.05-1.33),Frequent Knee Symptoms
history_trauma,1.2899256604879554,1.1826737850266178,1.406903772326229,9.023655166601929e-09,1.29 (1.18-1.41),History of Knee Trauma
occupation_4,0.8277002577645126,0.7410389437189925,0.9244962393814906,0.000804576270537348,0.83 (0.74-0.92),Occupation (Category 4)
knee_disability,1.1432778965436656,1.0354836284689335,1.2622935918919007,0.008047661408406777,1.14 (1.04-1.26),Knee Disability
race_raw_3,0.8401487317528953,0.7486301549566912,0.9428552761234049,0.0030771588161557684,0.84 (0.75-0.94),Race (Category 3)
recent_pain_7d,1.1965067594273002,1.0675395730610755,1.3410541974103607,0.0020483768352752897,1.20 (1.07-1.34),Recent Knee Pain (7d)
