Scenario,Model,threshold,net_benefit_model,net_benefit_treat_all,net_benefit_treat_none,net_benefit_gain_vs_best_default
Without Symptoms,XGBoost,0.03,0.11635252258005657,0.11340206185567012,0.0,0.0029504607243864556
Without Symptoms,XGBoost,0.04,0.1084070796460177,0.10416666666666669,0.0,0.004240412979351016
Without Symptoms,XGBoost,0.05,0.10206800186306475,0.09473684210526317,0.0,0.007331159757801575
Without Symptoms,XGBoost,0.06,0.09598569007719827,0.08510638297872342,0.0,0.010879307098474858
Without Symptoms,XGBoost,0.07,0.09049766866495385,0.07526881720430108,0.0,0.015228851460652768
Without Symptoms,XGBoost,0.08,0.08673335898422471,0.06521739130434784,0.0,0.021515967679876874
Without Symptoms,XGBoost,0.09,0.0820227560050569,0.05494505494505496,0.0,0.027077701060001944
Without Symptoms,XGBoost,0.1,0.07746312684365782,0.04444444444444445,0.0,0.033018682399213364
Without Symptoms,XGBoost,0.11,0.07348513473202745,0.03370786516853934,0.0,0.03977726956348811
Without Symptoms,XGBoost,0.12,0.06978278358809331,0.02272727272727275,0.0,0.04705551086082056
Without Symptoms,XGBoost,0.13,0.06661377275963787,0.011494252873563232,0.0,0.055119519886074636
Without Symptoms,XGBoost,0.14,0.06421074295122453,0.0,0.0,0.06421074295122453
Without Symptoms,XGBoost,0.15,0.06152004164497658,-0.011764705882352927,0.0,0.06152004164497658
Without Symptoms,XGBoost,0.16,0.05876106194690266,-0.023809523809523808,0.0,0.05876106194690266
Without Symptoms,XGBoost,0.17,0.05558161850943597,-0.03614457831325302,0.0,0.05558161850943597
Without Symptoms,XGBoost,0.18,0.051292898769695665,-0.04878048780487801,0.0,0.051292898769695665
Without Symptoms,XGBoost,0.19,0.04970173713536545,-0.061728395061728364,0.0,0.04970173713536545
Without Symptoms,XGBoost,0.2,0.046814159292035404,-0.07499999999999998,0.0,0.046814159292035404
Without Symptoms,XGBoost,0.21,0.04497143497255517,-0.08860759493670883,0.0,0.04497143497255517
