Feature,OR,2.5%,97.5%,P-value,OR (95% CI),Feature Label
age,1.0953470292745473,1.0822800871975762,1.108571735480474,4.922328524170591e-50,1.10 (1.08-1.11),Age (years)
bmi,1.13943649055534,1.1161065431717574,1.163254103250313,3.944561043087076e-35,1.14 (1.12-1.16),Body Mass Index (BMI)
history_trauma,3.7891958467244486,3.0671530131808296,4.681215806036251,4.833040902217478e-35,3.79 (3.07-4.68),History of Knee Trauma
occupation_4,0.6573944174351941,0.5276525423702081,0.819037880749457,0.00018427481383410282,0.66 (0.53-0.82),Occupation (Category 4)
race_raw_3,0.7023418205317511,0.5618249768582484,0.8780030315247318,0.0019202880965290322,0.70 (0.56-0.88),Race (Category 3)
