Feature,OR,2.5%,97.5%,P-value,OR (95% CI),Feature Label
age,2.4338381010520065,2.183477333244422,2.7129056079234064,4.863436939135537e-58,2.43 (2.18-2.71),Age (years)
bmi,2.067255262735942,1.8646682379050838,2.2918523705378755,2.529548822425447e-43,2.07 (1.86-2.29),Body Mass Index (BMI)
history_trauma,1.6370022950073126,1.5179960658224974,1.765338247044285,1.6639904988990359e-37,1.64 (1.52-1.77),History of Knee Trauma
occupation_4,0.8160291238494075,0.7340200701575856,0.90720071295526,0.0001684092925732617,0.82 (0.73-0.91),Occupation (Category 4)
waist_hip_ratio,0.8015804761356523,0.7172735584570968,0.8957966624393441,9.588724985438361e-05,0.80 (0.72-0.90),Waist-Hip Ratio
race_raw_3,0.8367756908064334,0.7496858749086244,0.9339825921222367,0.0014831196994271622,0.84 (0.75-0.93),Race (Category 3)
