Feature,OR,2.5%,97.5%,P-value,OR (95% CI),Feature Label
age,1.0983334182992421,1.0853709761056873,1.111450669227617,4.4204967073949344e-54,1.10 (1.09-1.11),Age (years)
bmi,1.1604659253102652,1.1357062076526965,1.1857654336411187,1.11879360076822e-41,1.16 (1.14-1.19),Body Mass Index (BMI)
occupation_4,0.6858813892778334,0.554838277346797,0.8478745958322743,0.0004913755942706864,0.69 (0.55-0.85),Occupation (Category 4)
waist_hip_ratio,0.1487101142947709,0.04260644665230307,0.5190458212587983,0.0028063763772367407,0.15 (0.04-0.52),Waist-Hip Ratio
race_raw_3,0.716376540801724,0.5779568264206896,0.8879475503201234,0.00232814886148905,0.72 (0.58-0.89),Race (Category 3)
