Feature,OR,2.5%,97.5%,P-value,OR (95% CI),Feature Label
age,2.312289523051284,2.079519548905199,2.5711144871071743,4.420496707450317e-54,2.31 (2.08-2.57),Age (years)
bmi,2.0184736207796763,1.8231389181049753,2.2347368691017233,1.118793600768604e-41,2.02 (1.82-2.23),Body Mass Index (BMI)
occupation_4,0.8316535516623493,0.7497620092577234,0.9224895652919816,0.0004913755942706981,0.83 (0.75-0.92),Occupation (Category 4)
waist_hip_ratio,0.8476288826685253,0.7605286991100723,0.9447042873919305,0.002806376377235538,0.85 (0.76-0.94),Waist-Hip Ratio
race_raw_3,0.8464374377599777,0.7603043120749052,0.9423283870197106,0.002328148861489075,0.85 (0.76-0.94),Race (Category 3)
