Feature,OR,2.5%,97.5%,P-value,OR (95% CI),Feature Label
age,1.1101199377050879,1.0961769059420414,1.1242403205267921,5.080895400191381e-59,1.11 (1.10-1.12),Age (years)
bmi,1.1739647155360455,1.1479429073723821,1.2005763914498884,1.1097924197071624e-44,1.17 (1.15-1.20),Body Mass Index (BMI)
history_surgery,8.68786914409995,5.868223013060963,12.86233841096521,3.4764664508161056e-27,8.69 (5.87-12.86),History of Knee Surgery
history_trauma,2.6186953022266066,2.064257826585559,3.3220487274337422,2.1751704817684527e-15,2.62 (2.06-3.32),History of Knee Trauma
occupation_4,0.6627774751007222,0.5310332975997815,0.8272060970307583,0.0002750972108548867,0.66 (0.53-0.83),Occupation (Category 4)
waist_hip_ratio,0.05592834042840069,0.014857154278655712,0.21053690393246022,2.01069369691822e-05,0.06 (0.01-0.21),Waist-Hip Ratio
race_raw_3,0.6858851264774503,0.5473116135582067,0.8595439875001972,0.0010590406658962737,0.69 (0.55-0.86),Race (Category 3)
