k,AUC,Added Variable
1,0.6959349651599072,age
2,0.7634700017866713,bmi
3,0.8087249597998927,history_surgery
4,0.8183827050205467,history_trauma
5,0.8225998213328569,occupation_4
6,0.8255222440593175,waist_hip_ratio
7,0.8268669644452386,race_raw_3
