Model,AUC,k_features,features
Stepwise Logistic Regression,0.8249890104596338,6,"age,bmi,history_surgery,history_trauma,occupation_4,race_raw_3"
XGBoost,0.8097195710165175,57,
Random Forest,0.7944587124473858,57,
Neural Network,0.790785496215383,57,
