k,AUC,Added Variable
1,0.6895691274786357,age
2,0.7508634172305291,bmi
3,0.7954321403238798,history_surgery
4,0.804177928432548,history_trauma
5,0.8089278161336614,occupation_4
6,0.8104254078553481,race_raw_3
