k,AUC,Added Variable
1,0.6915201973481345,age
2,0.7565129904122654,bmi
3,0.8047730711586314,history_surgery
4,0.8156418475571714,history_trauma
5,0.8196708474065788,occupation_4
6,0.8222857101879539,waist_hip_ratio
7,0.8241863333548466,race_raw_3
