Model,AUC,AUC_CI_Low,AUC_CI_High,Brier,Brier_CI_Low,Brier_CI_High,AUC_Mean_CV,AUC_Std_CV,Features_Count,Features_List
1. Full (Lasso) [LR],0.8294897149520912,0.8146738369136004,0.8441110037099506,0.09035272832214801,0.08528667159432061,0.09529675247544284,0.8313704207503608,0.013333184102384696,27,See model_features_list.txt
2. Clinical (Lasso) [LR],0.8239876159738746,0.8089614004699873,0.8385848634501479,0.09118577424606703,0.08608853889582854,0.09607477534669091,0.825848138785152,0.013505764321330509,27,See model_features_list.txt
3. Clinical (MPMS) [LR Balanced],0.8239794189748504,0.8094825042185405,0.8381736982788927,0.16959801700579102,0.16455910721378197,0.17467289568488928,0.8259218086486587,0.014186184753086157,9,"['age', 'bmi', 'history_surgery', 'history_trauma', 'frequent_symptoms', 'recent_pain_7d', 'occupation_4', 'race_raw_3', 'knee_disability']"
3. Clinical (MPMS) [LR],0.8237020871745382,0.8092629238578498,0.837704437202509,0.0916066843446461,0.08647215010402556,0.09659699718263046,0.8257434234677248,0.013085249384956858,9,"['age', 'bmi', 'history_surgery', 'history_trauma', 'frequent_symptoms', 'recent_pain_7d', 'occupation_4', 'race_raw_3', 'knee_disability']"
4. Final (5 vars) [LR Balanced],0.8149017890223602,0.8000439464926502,0.82922275814298,0.1735654516217966,0.16854039478693034,0.17854727534719692,0.8167015130998887,0.017459150149868586,5,"['age', 'bmi', 'history_surgery', 'frequent_symptoms', 'history_trauma']"
4. Final (5 vars) [LR],0.814788397202528,0.799930922879626,0.8291652379781034,0.09281809021333925,0.08766907646122023,0.0979423801467565,0.8167084832946856,0.017112878273036227,5,"['age', 'bmi', 'history_surgery', 'frequent_symptoms', 'history_trauma']"
5. Random Forest (Clinical),0.79796870167186,0.7820387494939369,0.8128763118979883,0.09688672411244448,0.09178967327764875,0.10187483816499944,0.8015799411311262,0.022426765013150385,52,See model_features_list.txt
6. XGBoost (Clinical),0.7766865598725202,0.7601149086226657,0.792378069932687,0.12381356954574585,0.11827027034014463,0.12932459227740764,0.7801248969972034,0.02454372032481054,52,See model_features_list.txt
