C,mean_cv_auc,std_cv_auc,is_selected_C
0.0001,0.5,0.0,False
0.000774263682681127,0.5,0.0,False
0.005994842503189409,0.8131619064865648,0.016333921178108064,False
0.046415888336127774,0.8197487253098007,0.019543261020487448,True
0.3593813663804626,0.8121597441038952,0.021269519743204564,False
2.782559402207126,0.809107707887231,0.02228790970889358,False
21.54434690031882,0.8083958711944995,0.02237269601849571,False
166.81005372000558,0.8083589370002421,0.022383419183702517,False
1291.5496650148827,0.8080395861173955,0.02195267162764856,False
10000.0,0.8080420592198182,0.021943401021763058,False
