dictionary_name,base,risk_factor_or_marker,description,type,elsa_wave,code,label,comments
base_derivadas_onda3_010321,,,Bebedor excessivo (H >= 210 g álcool/semana; M >= 140 g álcool/semana),,3,c_bebexcessivo,0=Não; 1=Sim; .D=Missing,
base_der_onda1_150919,,,Bebedor excessivo esporádico,,1,A_BINGE,0=Não; 1=Sim; .D=Missing,
base_der_onda2_150919,,,Bebedor excessivo esporádico,,2,B_BINGE,0=Não; 1=Sim; .D=Missing,
base_derivadas_onda3_010321,,,Bebedor excessivo esporádico,,3,C_BINGE,0=Não; 1=Sim; .D=Missing,
base_der_onda1_150919,,,Uso de álcool,,1,A_USODEALCOOL,0= Nunca usou;  1=Ex-usuário; 2=Usuário,
base_der_onda2_150919,,,Uso de álcool,,2,B_USODEALCOOL,0= Nunca usou;  1=Ex-usuário; 2=Usuário,
base_derivadas_onda3_010321,,,Uso de álcool,,3,C_USODEALCOOL,0= Nunca usou;  1=Ex-usuário; 2=Usuário,
base_der_onda1_150919,,Síndrome metabólica,Sindrome Metabolica pelo JIS para America Central e Sul (etnica),,1,A_SMJ_AS_2,0 = Sem Síndrome Metabólica; 1 = Com Síndrome Metabólica,
base_der_onda2_150919,,,Sindrome Metabolica pelo JIS para America Central e Sul (etnica),,2,B_SMJ_AS,0 = Sem Síndrome Metabólica; 1 = Com Síndrome Metabólica,
base_derivadas_onda3_010321,,,Sindrome Metabolica pelo JIS para America Central e Sul (etnica),,3,C_SMJ_AS,0 = Sem Síndrome Metabólica; 1 = Com Síndrome Metabólica,
base_der_onda1_150919,,,Sindrome Metabolica pelo JIS para America do Norte (ATPIII),,1,A_SMJ_AN_2,0 = Sem Síndrome Metabólica; 1 = Com Síndrome Metabólica,
base_der_onda2_150919,,,Sindrome Metabolica pelo JIS para America do Norte (ATPIII),,2,B_SMJ_AN,0 = Sem Síndrome Metabólica; 1 = Com Síndrome Metabólica,
base_derivadas_onda3_010321,,,Sindrome Metabolica pelo JIS para America do Norte (ATPIII),,3,C_SMJ_AN,0 = Sem Síndrome Metabólica; 1 = Com Síndrome Metabólica,
base_der_onda1_150919,,,Sindrome Metabolica pelo JIS para descendencia europeia (IDF),,1,A_SMJ_EU_2,0 = Sem Síndrome Metabólica; 1 = Com Síndrome Metabólica,
base_der_onda2_150919,,,Sindrome Metabolica pelo JIS para descendencia europeia (IDF),,2,B_SMJ_EU,0 = Sem Síndrome Metabólica; 1 = Com Síndrome Metabólica,
base_derivadas_onda3_010321,,,Sindrome Metabolica pelo JIS para descendencia europeia (IDF),,3,C_SMJ_EU,0 = Sem Síndrome Metabólica; 1 = Com Síndrome Metabólica,
base_der_onda1_150919,,HAS,Presença de hipertensão arterial sistêmica,,1,A_HAS2_2,0 = Não; 1 = Sim,
base_der_onda2_150919,,,Presença de hipertensão arterial sistêmica,,2,B_HAS2_2,0 = Não; 1 = Sim,
base_derivadas_onda3_010321,,,Presença de hipertensão arterial sistêmica,,3,C_HAS2,0 = Não; 1 = Sim,
base_der_onda1_150919,,Dislipidemia,Hipertrigliceridemia,,1,A_HIPERTRIG_2,0 = Não; 1 = Sim,
base_der_onda2_150919,,,Hipertrigliceridemia,,2,B_HIPERTRIG,0 = Não; 1 = Sim,
base_derivadas_onda3_010321,,,Hipertrigliceridemia,,3,C_HIPERTRIG,0 = Não; 1 = Sim,
base_der_onda1_150919,,,Presença de hipertrigliceridemia considerando o uso de medicamentos,,1,A_HIPERTRIGMED_2,0 = Não; 1 = Sim,
base_der_onda2_150919,,,Presença de hipertrigliceridemia considerando o uso de medicamentos,,2,B_HIPERTRIGMED,0 = Não; 1 = Sim,
base_derivadas_onda3_010321,,,Presença de hipertrigliceridemia considerando o uso de medicamentos,,3,C_HIPERTRIGMED,0 = Não; 1 = Sim,
base_der_onda1_150919,,,Baixos níveis de HDL,,1,A_BAIXOHDL_2,0 = Não; 1 = Sim,
base_der_onda2_150919,,,Baixos níveis de HDL,,2,B_BAIXOHDL,0 = Não; 1 = Sim,
base_derivadas_onda3_010321,,,Baixos níveis de HDL,,3,C_BAIXOHDL,0 = Não; 1 = Sim,
base_der_onda1_150919,,,Presença de Baixo HDL-C considerando medicamentos,,1,A_BAIXOHDLMED_2,0 = Não; 1 = Sim,
base_der_onda2_150919,,,Presença de Baixo HDL-C considerando medicamentos,,2,B_BAIXOHDLMED,0 = Não; 1 = Sim,
base_derivadas_onda3_010321,,,Presença de Baixo HDL-C considerando medicamentos,,3,C_BAIXOHDLMED,0 = Não; 1 = Sim,
base_der_onda1_150919,,Intolerância à glicose,Tolerância à glicose diminuída (140 <= G 2h < 200 mg/dl)/Diabetes - após correção,,1,A_DM_TGD_3,0=Não; 1=DM; 2=IGT,
base_der_onda1_150919,,Diabetes,Diabetes mellitus desdobrada - após correção,,1,A_DM_D_3,"0=Não ; 1=Sim, prévio ; 2=Sim, novo",
base_der_onda2_150919,,,Diabetes mellitus desdobrada - após correção,,2,B_DM_D_3,"0=Não ; 1=Sim, prévio ; 2=Sim, novo",
base_derivadas_onda3_010321,,,Diabetes mellitus desdobrada - após correção,,3,C_DM_D ,"0=Não ; 1=Sim, prévio ; 2=Sim, novo",
base_der_onda1_150919,,,Diabetes mellitus prevalente,,1,A_DM_3,0 = Não; 1 = Sim,
base_der_onda2_150919,,,Diabetes mellitus prevalente,,2,B_DM_3,0 = Não; 1 = Sim,
base_derivadas_onda3_010321,,,Diabetes mellitus prevalente,,3,C_DM,0 = Não; 1 = Sim,
base_der_onda1_150919,,Dislipidemia,Framingham Doença Coronariana - Chol Points,,1,A_FRAMINGHAM_CHD_CHOL_2,Contínua,
base_der_onda2_150919,,,Framingham Doença Coronariana - Chol Points,,2,B_FRAMINGHAM_CHD_CHOL_2,Contínua,
base_derivadas_onda3_010321,,,Framingham Doença Coronariana - Chol Points,,3,C_Framingham_CHD_Chol,Contínua,
base_der_onda1_150919,,,Framingham Doença Coronariana - LDL Points,,1,A_FRAMINGHAM_CHD_LDL_2,Contínua,
base_der_onda2_150919,,,Framingham Doença Coronariana - LDL Points,,2,B_FRAMINGHAM_CHD_LDL_2,Contínua,
base_derivadas_onda3_010321,,,Framingham Doença Coronariana - LDL Points,,3,C_Framingham_CHD_LDL,Contínua,
base_der_onda1_150919,,,Framingham Doença Cardiovascular - Modelo 1 - Colesterol,,1,A_FRAMINGHAM_CVD_MODEL1_2,Contínua,
base_der_onda2_150919,,,Framingham Doença Cardiovascular - Modelo 1 - Colesterol,,2,B_FRAMINGHAM_CVD_MODEL1_2,Contínua,
base_derivadas_onda3_010321,,,Framingham Doença Cardiovascular - Modelo 1 - Colesterol,,3,C_Framingham_CVD_Model1,Contínua,
base_der_onda1_150919,,,Framingham Doença Cardiovascular - Modelo 2 - Índice de Massa Corporal,,1,A_FRAMINGHAM_CVD_MODEL2_2,Contínua,
base_der_onda2_150919,,,Framingham Doença Cardiovascular - Modelo 2 - Índice de Massa Corporal,,2,B_FRAMINGHAM_CVD_MODEL2_2,Contínua,
base_derivadas_onda3_010321,,,Framingham Doença Cardiovascular - Modelo 2 - Índice de Massa Corporal,,3,C_Framingham_CVD_Model2,Contínua,
base_bio_onda2_150619_dist,Bioimpedância,Maior densidade mineral óssea,Conteúdo mineral ósseo (kg),,2,BIOB11,Contínua,
base_bio_onda2_150619_dist,,,Massa mineral (kg),,2,BIOB130,Contínua,
base_bio_o3_270721,,,Minerais (kg),,3,BIOC130,Contínua,
base_bio_onda2_150619_dist,,Fraqueza muscular,Massa músculo esquelético (kg),,2,BIOB27,Contínua,
base_bio_o3_270721,,,Massa Muscular Esquelética (kg),,3,BIOC27,Contínua,
